Quota Year,IFQ Species,Price / lb.,Trades YTD
2011,Arrowtooth flounder,Not Enough Data,Not Enough Data
2011,Bocaccio rockfish South of 40°10' N.,     $0.50,3
2011,Canary rockfish,     $1.21,4
2011,Chilipepper rockfish South of 40°10' N.,     $0.05,3
2011,Cowcod South of 40°10' N.,Not Enough Data,Not Enough Data
2011,Darkblotched rockfish,     $0.40,4
2011,Dover sole,     $0.06,4
2011,English sole,Not Enough Data,Not Enough Data
2011,Lingcod,     $0.07,2
2011,Longspine thornyheads North of 34°27' N.,     $0.04,5
2011,Minor shelf rockfish North of 40°10' N.,Not Enough Data,Not Enough Data
2011,Minor shelf rockfish South of 40°10' N.,Not Enough Data,Not Enough Data
2011,Minor slope rockfish North of 40°10' N.,Not Enough Data,Not Enough Data
2011,Minor slope rockfish South of 40°10' N.,     $0.05,6
2011,Other flatfish,Not Enough Data,Not Enough Data
2011,Pacific cod,     $0.05,11
2011,Pacific halibut (IBQ) North of 40°10' N.,     $1.31,5
2011,Pacific ocean perch North of 40°10' N.,     $0.14,3
2011,Pacific whiting,     $0.02,26
2011,Petrale sole,     $0.35,36
2011,Sablefish North of 36° N.,     $1.07,54
2011,Sablefish South of 36° N.,     $0.75,58
2011,Shortspine thornyheads North of 34°27' N.,     $0.07,2
2011,Shortspine thornyheads South of 34°27' N.,     $0.17,3
2011,Splitnose rockfish South of 40°10' N.,Not Enough Data,Not Enough Data
2011,Starry flounder,Not Enough Data,Not Enough Data
2011,Widow rockfish,     $0.44,6
2011,Yelloweye rockfish,    $32.28,4
2011,Yellowtail rockfish North of 40°10' N.,Not Enough Data,Not Enough Data
