Quota Year,IFQ Species,Sector Quota Pounds (A),Carryover Quota Pounds (B),Catch To Date (C),Quota Pounds Remaining (A+B-C),Metric ton
2016,Arrowtooth flounder,"6,687,458",0,"3,130,354","3,557,104",1613.473
2016,Bocaccio rockfish South of 40°10' N.,"187,437","13,755","95,235","105,957",48.061
2016,Canary rockfish,"98,062","6,701","47,388","57,375",26.025
2016,Chilipepper rockfish South of 40°10' N.,"2,637,280",0,"166,564","2,470,716",1120.696
2016,Cowcod South of 40°10' N.,"3,175",271,651,"2,795",1.268
2016,Darkblotched rockfish,"645,536","55,380","271,787","429,129",194.649
2016,Dover sole,"101,370,312","9,302,124","15,864,313","94,808,123",43004.171
2016,English sole,"14,631,287",0,"832,507","13,798,780",6259.011
2016,Lingcod North of 40°10' N.,"2,388,422",0,"574,312","1,814,110",822.865
2016,Lingcod South of 40°10' N.,"929,491",0,"54,570","874,921",396.857
2016,Longspine thornyheads North of 34°27' N.,"6,206,189","556,534","1,454,237","5,308,486",2407.885
2016,Minor shelf rockfish North of 40°10' N.,"2,417,413","2,155","75,760","2,343,808",1063.132
2016,Minor shelf rockfish South of 40°10' N.,"423,993","2,156","9,807","416,342",188.849
2016,Minor slope rockfish North of 40°10' N.,"2,711,554",0,"353,210","2,358,344",1069.725
2016,Minor slope rockfish South of 40°10' N.,"937,516","22,018","109,982","849,552",385.35
2016,Other flatfish,"13,922,412",0,"1,890,400","12,032,012",5457.62
2016,Pacific cod,"2,273,870","181,987","848,703","1,607,154",728.992
2016,Pacific halibut (IBQ) North of 40°10' N.,"199,954","13,752","76,821","136,885",62.09
2016,Pacific ocean perch North of 40°10' N.,"273,704","24,067","120,157","177,614",80.564
2016,Pacific whiting,"310,867,464",0,"190,244,657","120,622,807",54713.496
2016,Petrale sole,"5,805,653",0,"5,511,005","294,648",133.65
2016,Sablefish North of 36° N.,"5,315,874","142,280","5,070,079","388,075",176.028
2016,Sablefish South of 36° N.,"1,736,140","154,324","447,857","1,442,607",654.354
2016,Shortspine thornyheads North of 34°27' N.,"3,446,795","1,407","1,647,482","1,800,720",816.792
2016,Shortspine thornyheads South of 34°27' N.,"110,231",724,"4,388","106,567",48.338
2016,Splitnose rockfish South of 40°10' N.,"3,634,827",0,"28,874","3,605,953",1635.63
2016,Starry flounder,"1,674,080",0,"27,972","1,646,108",746.661
2016,Widow rockfish,"3,131,931","281,855","1,846,488","1,567,298",710.913
2016,Yelloweye rockfish,"2,381",172,108,"2,445",1.109
2016,Yellowtail rockfish North of 40°10' N.,"9,648,906",0,"2,524,742","7,124,164",3231.461
